molecule_chembl_id,canonical_smiles,value
CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,10000.0
CHEMBL200586,COC(=O)c1cc2c(C)n[nH]c2s1,100000.0
CHEMBL199996,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)Nc3ccccc3)c12,20000.0
CHEMBL199658,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3ccc(Cl)cc3)c12,100000.0
CHEMBL199657,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccc(Cl)c3)c12,100000.0
CHEMBL371695,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3ccccc3Cl)c12,23000.0
CHEMBL382070,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccs3)c12,100000.0
CHEMBL199759,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)COc3ccccc3)c12,100000.0
CHEMBL370199,COC(=O)C(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12,8000.0
CHEMBL199737,CC(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12,20000.0
CHEMBL371239,CN1CCN(C(=O)c2cc3c(-c4ccccc4)[nH]nc3s2)CC1,20000.0
CHEMBL199383,COc1ccc(CNC(=O)c2cc3c(-c4ccccc4)[nH]nc3s2)cc1,20000.0
CHEMBL197923,O=C(NCCc1ccccc1)c1cc2c(-c3ccccc3)[nH]nc2s1,17000.0
CHEMBL199755,O=C(NC1CCCCC1)c1cc2c(-c3ccccc3)[nH]nc2s1,12000.0
CHEMBL199528,CCCCN(C)C(=O)c1cc2c(-c3ccccc3)[nH]nc2s1,20000.0
CHEMBL373001,Cc1n[nH]c2sc(C(=O)NCc3ccccc3)cc12,16000.0
CHEMBL199951,Cc1n[nH]c2sc(C(=O)NC3CCCCC3)cc12,20000.0
CHEMBL200657,CCCCN(C)C(=O)c1cc2c(C)n[nH]c2s1,20000.0
CHEMBL371242,CCCCNC(=O)c1cc2c(C)n[nH]c2s1,20000.0
CHEMBL198022,Cc1n[nH]c2sc(C(N)=O)cc12,20000.0
CHEMBL200348,COC(=O)c1cc2c(CN3CCCCC3)n[nH]c2s1,100000.0
CHEMBL200796,COC(=O)c1cc2c(Nc3ccccc3)[nH]nc2s1,21000.0
CHEMBL402548,CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,3500.0
CHEMBL202721,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,10000.0
CHEMBL201511,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,100000.0
CHEMBL219899,COc1cc2ncn(-c3cc(OCc4ccc(S(C)(=O)=O)cc4)c(C(N)=O)s3)c2cc1OC,125.89
CHEMBL373751,COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(C#N)s3)c2cc1OC,794.33
CHEMBL375787,COc1cc2ncn(-c3cc(OCC4CCCO4)c(C#N)s3)c2cc1OC,10000.0
CHEMBL220032,COc1cc2ncn(-c3cc(OCC4CCCO4)c(C(N)=O)s3)c2cc1OC,251.19
CHEMBL219711,COc1cc2ncn(-c3cc(OCc4ccc(S(C)(=O)=O)cc4)c(C#N)s3)c2cc1OC,630.96
CHEMBL222312,COc1cc2ncn(-c3cc(OCc4ccccc4)c(C(=O)O)s3)c2cc1OC,630.96
CHEMBL242237,NC(=O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1,730.0
