activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,STATUS
,750655,[],CHEMBL763908,Inhibition of PLK1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,,,CHEMBL1148336,J. Med. Chem.,2004.0,,CHEMBL115220,,CHEMBL115220,,0,http://www.openphacts.org/units/Nanomolar,215208,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,nM,UO_0000065,,10000.0,inactive
,1662506,[],CHEMBL864552,Inhibitory activity against Plk1,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1cc2c(C)n[nH]c2s1,,,CHEMBL1148538,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL200586,,CHEMBL200586,,0,http://www.openphacts.org/units/Nanomolar,414718,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,uM,UO_0000065,,100000.0,inactive
,1662531,[],CHEMBL864552,Inhibitory activity against Plk1,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)Nc3ccccc3)c12,,,CHEMBL1148538,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL199996,,CHEMBL199996,,0,http://www.openphacts.org/units/Nanomolar,414739,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,uM,UO_0000065,,20000.0,inactive
,1662532,[],CHEMBL864552,Inhibitory activity against Plk1,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3ccc(Cl)cc3)c12,,,CHEMBL1148538,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL199658,,CHEMBL199658,,0,http://www.openphacts.org/units/Nanomolar,414738,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,uM,UO_0000065,,100000.0,inactive
,1662533,[],CHEMBL864552,Inhibitory activity against Plk1,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccc(Cl)c3)c12,,,CHEMBL1148538,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL199657,,CHEMBL199657,,0,http://www.openphacts.org/units/Nanomolar,414737,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,uM,UO_0000065,,100000.0,inactive
,1662534,[],CHEMBL864552,Inhibitory activity against Plk1,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3ccccc3Cl)c12,,,CHEMBL1148538,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '13.85', 'le': '0.29', 'lle': '1.70', 'sei': '4.60'}",CHEMBL371695,,CHEMBL371695,4.64,0,http://www.openphacts.org/units/Nanomolar,414736,=,1,1,=,,IC50,nM,,23000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,uM,UO_0000065,,23000.0,inactive
,1662535,[],CHEMBL864552,Inhibitory activity against Plk1,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccs3)c12,,,CHEMBL1148538,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL382070,,CHEMBL382070,,0,http://www.openphacts.org/units/Nanomolar,414735,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,uM,UO_0000065,,100000.0,inactive
,1662536,[],CHEMBL864552,Inhibitory activity against Plk1,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)COc3ccccc3)c12,,,CHEMBL1148538,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL199759,,CHEMBL199759,,0,http://www.openphacts.org/units/Nanomolar,414734,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,uM,UO_0000065,,100000.0,inactive
,1662537,[],CHEMBL864552,Inhibitory activity against Plk1,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12,,,CHEMBL1148538,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '18.06', 'le': '0.37', 'lle': '4.96', 'sei': '4.01'}",CHEMBL370199,,CHEMBL370199,5.10,0,http://www.openphacts.org/units/Nanomolar,414733,=,1,1,=,,IC50,nM,,8000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,uM,UO_0000065,,8000.0,intermediate
,1662538,[],CHEMBL864552,Inhibitory activity against Plk1,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12,,,CHEMBL1148538,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL199737,,CHEMBL199737,,0,http://www.openphacts.org/units/Nanomolar,414732,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3024,Homo sapiens,Serine/threonine-protein kinase PLK1,9606,,,IC50,uM,UO_0000065,,20000.0,inactive
